Date,Open,High,Low,Close,Adj Close,Volume
12/12/1990,1.419643,1.428571,1.392857,1.415179,0.189034,60589200
13/12/1990,1.410714,1.464286,1.410714,1.455357,0.194401,40182800
14/12/1990,1.4375,1.446429,1.410714,1.424107,0.190226,21767200
17/12/1990,1.392857,1.446429,1.392857,1.433036,0.191419,32776800
18/12/1990,1.464286,1.517857,1.455357,1.508929,0.201556,55246800
19/12/1990,1.517857,1.517857,1.46875,1.495536,0.199767,35165200
20/12/1990,1.473214,1.589286,1.473214,1.571429,0.209905,100268000
21/12/1990,1.580357,1.616071,1.553571,1.607143,0.214675,86534000
24/12/1990,1.598214,1.607143,1.571429,1.571429,0.209905,14680400
26/12/1990,1.571429,1.580357,1.535714,1.5625,0.208712,25768400
27/12/1990,1.544643,1.571429,1.544643,1.553571,0.20752,24413200
28/12/1990,1.544643,1.553571,1.526786,1.535714,0.205134,15982400
31/12/1990,1.535714,1.544643,1.526786,1.535714,0.205134,11068400
02/01/1991,1.526786,1.571429,1.5,1.553571,0.20752,38746400
03/01/1991,1.553571,1.580357,1.535714,1.535714,0.205134,37545200
04/01/1991,1.535714,1.580357,1.535714,1.544643,0.206327,35380800
07/01/1991,1.535714,1.616071,1.535714,1.544643,0.206327,77700000
08/01/1991,1.5625,1.566964,1.517857,1.544643,0.206327,54672800
09/01/1991,1.580357,1.642857,1.5625,1.616071,0.215868,116816000
10/01/1991,1.633929,1.6875,1.633929,1.683036,0.224813,108830400
11/01/1991,1.678571,1.6875,1.642857,1.678571,0.224217,76913200
14/01/1991,1.642857,1.669643,1.642857,1.651786,0.220639,52710000
15/01/1991,1.660714,1.669643,1.642857,1.669643,0.223024,48014400
16/01/1991,1.678571,1.785714,1.669643,1.776786,0.237336,97658400
17/01/1991,1.875,1.883929,1.75,1.830357,0.244491,147918400
18/01/1991,1.741071,1.8125,1.732143,1.794643,0.239721,235810400
21/01/1991,1.776786,1.839286,1.776786,1.8125,0.242106,81076800
22/01/1991,1.821429,1.875,1.803571,1.830357,0.244491,106932000
23/01/1991,1.830357,1.866071,1.821429,1.848214,0.246877,61065200
24/01/1991,1.839286,1.883929,1.839286,1.861607,0.248666,58483600
25/01/1991,1.857143,1.915179,1.857143,1.910714,0.255225,55952400
28/01/1991,1.901786,1.973214,1.901786,1.946429,0.259996,68370400
29/01/1991,1.9375,1.946429,1.866071,1.919643,0.256418,53888800
30/01/1991,1.901786,1.991071,1.901786,1.982143,0.264766,84193200
31/01/1991,1.982143,2,1.955357,1.982143,0.264766,60648000
01/02/1991,1.982143,2.066964,1.982143,1.991071,0.265959,111137600
04/02/1991,1.991071,2,1.964286,1.973214,0.263574,66962000
05/02/1991,1.973214,2.071429,1.955357,2.0625,0.2755,89028800
06/02/1991,2.0625,2.080357,2.017857,2.03125,0.271326,55641600
07/02/1991,2.035714,2.098214,1.991071,2.0625,0.2755,130043200
08/02/1991,2.053571,2.151786,2.053571,2.138393,0.285638,78388800
11/02/1991,2.142857,2.196429,2.133929,2.191964,0.292793,80757600
12/02/1991,2.178571,2.1875,2.120536,2.142857,0.286234,56187600
13/02/1991,2.142857,2.151786,2.071429,2.142857,0.286234,63887600
14/02/1991,2.142857,2.142857,2.026786,2.040179,0.272519,94418800
15/02/1991,2.044643,2.089286,2.044643,2.058036,0.292084,91403200
19/02/1991,2.053571,2.151786,2.049107,2.142857,0.304122,56562800
20/02/1991,2.125,2.205357,2.116071,2.178571,0.309191,53410000
21/02/1991,2.1875,2.223214,2.098214,2.107143,0.299053,47717600
22/02/1991,2.107143,2.205357,2.089286,2.133929,0.302855,58142000
25/02/1991,2.151786,2.160714,2.053571,2.071429,0.293984,89818400
26/02/1991,2.053571,2.098214,2.017857,2.080357,0.295252,62504400
27/02/1991,2.080357,2.089286,2.053571,2.080357,0.295252,43593200
28/02/1991,2.080357,2.089286,2.008929,2.044643,0.290183,56840000
01/03/1991,2.035714,2.107143,2.035714,2.0625,0.292717,31533600
04/03/1991,2.071429,2.098214,2.035714,2.084821,0.295885,22089200
05/03/1991,2.107143,2.258929,2.107143,2.254464,0.319962,110362000
06/03/1991,2.285714,2.34375,2.245536,2.25,0.319328,130989600
07/03/1991,2.267857,2.410714,2.258929,2.401786,0.34087,80438400
08/03/1991,2.419643,2.4375,2.321429,2.321429,0.329465,80550400
11/03/1991,2.303571,2.3125,2.223214,2.267857,0.321862,43842400
12/03/1991,2.25,2.276786,2.232143,2.245536,0.318694,58419200
13/03/1991,2.241071,2.375,2.241071,2.366071,0.335801,43638000
14/03/1991,2.383929,2.410714,2.303571,2.330357,0.330733,56767200
15/03/1991,2.348214,2.375,2.330357,2.366071,0.335801,51209200
18/03/1991,2.348214,2.4375,2.348214,2.419643,0.343404,53502400
19/03/1991,2.375,2.508929,2.348214,2.482143,0.352274,105548800
20/03/1991,2.473214,2.482143,2.388393,2.419643,0.343404,90426000
21/03/1991,2.4375,2.455357,2.276786,2.3125,0.328198,74200000
22/03/1991,2.285714,2.3125,2.223214,2.258929,0.320595,84532000
25/03/1991,2.267857,2.321429,2.258929,2.303571,0.326931,33964000
26/03/1991,2.3125,2.508929,2.3125,2.5,0.354809,83406400
27/03/1991,2.5,2.508929,2.446429,2.473214,0.351007,47555200
28/03/1991,2.473214,2.5,2.419643,2.428571,0.344671,19675600
01/04/1991,2.428571,2.482143,2.410714,2.446429,0.347206,29481200
02/04/1991,2.464286,2.598214,2.446429,2.598214,0.368748,73231200
03/04/1991,2.589286,2.598214,2.5,2.5,0.354809,60032000
04/04/1991,2.5,2.571429,2.482143,2.553571,0.362412,42109200
05/04/1991,2.5625,2.5625,2.455357,2.477679,0.351641,38852800
08/04/1991,2.473214,2.5,2.455357,2.5,0.354809,18118800
09/04/1991,2.491071,2.5,2.4375,2.455357,0.348473,29862000
10/04/1991,2.446429,2.473214,2.383929,2.388393,0.338969,54101600
11/04/1991,2.419643,2.549107,2.410714,2.535714,0.359878,88897200
12/04/1991,2.553571,2.616071,2.491071,2.5625,0.363679,91929600
15/04/1991,2.205357,2.303571,2.142857,2.223214,0.315526,425096000
16/04/1991,2.258929,2.303571,2.232143,2.294643,0.325664,155195600
17/04/1991,2.321429,2.321429,2.214286,2.258929,0.320595,80600800
18/04/1991,2.241071,2.25,2.169643,2.178571,0.309191,61840800
19/04/1991,2.178571,2.196429,2.125,2.129464,0.302221,71825600
22/04/1991,2.125,2.214286,2.098214,2.196429,0.311725,64254400
23/04/1991,2.223214,2.25,2.151786,2.196429,0.311725,59323600
24/04/1991,2.205357,2.214286,2.160714,2.169643,0.307923,26362000
25/04/1991,2.133929,2.133929,2.089286,2.089286,0.296519,78845200
26/04/1991,2.089286,2.107143,2.0625,2.09375,0.297152,31264800
29/04/1991,2.089286,2.151786,2.080357,2.080357,0.295252,51676800
30/04/1991,2.0625,2.080357,1.946429,1.964286,0.278778,177861600
01/05/1991,1.714286,1.75,1.678571,1.6875,0.239496,467093200
02/05/1991,1.705357,1.776786,1.696429,1.75,0.248366,202781600
03/05/1991,1.75,1.767857,1.723214,1.75,0.248366,60928000
06/05/1991,1.732143,1.803571,1.723214,1.794643,0.254702,53082400
07/05/1991,1.821429,1.830357,1.803571,1.808036,0.256603,67620000
08/05/1991,1.8125,1.8125,1.758929,1.776786,0.252168,44195200
09/05/1991,1.785714,1.839286,1.776786,1.8125,0.257236,59553200
10/05/1991,1.839286,1.901786,1.8125,1.830357,0.259771,60432400
13/05/1991,1.866071,1.910714,1.839286,1.883929,0.267374,61236000
14/05/1991,1.883929,1.919643,1.875,1.910714,0.271175,54236000
15/05/1991,1.839286,1.857143,1.75,1.803571,0.255969,129586800
16/05/1991,1.821429,1.830357,1.732143,1.75,0.248366,95533200
17/05/1991,1.741071,1.741071,1.660714,1.678571,0.238229,117765200
20/05/1991,1.6875,1.696429,1.571429,1.580357,0.241559,65542400
21/05/1991,1.616071,1.660714,1.598214,1.616071,0.247018,87449600
22/05/1991,1.633929,1.660714,1.625,1.651786,0.252477,56817600
23/05/1991,1.660714,1.669643,1.598214,1.611607,0.246335,52164000
24/05/1991,1.625,1.642857,1.607143,1.638393,0.25043,24281600
28/05/1991,1.642857,1.651786,1.616071,1.642857,0.251112,42859600
29/05/1991,1.651786,1.705357,1.638393,1.678571,0.256571,96000800
30/05/1991,1.678571,1.705357,1.660714,1.700893,0.259983,39586400
31/05/1991,1.696429,1.705357,1.651786,1.678571,0.256571,54465600
03/06/1991,1.678571,1.767857,1.669643,1.758929,0.268853,55017200
04/06/1991,1.767857,1.767857,1.732143,1.754464,0.268171,46071200
05/06/1991,1.758929,1.758929,1.705357,1.714286,0.26203,33322800
06/06/1991,1.723214,1.723214,1.660714,1.665179,0.254524,42126000
07/06/1991,1.651786,1.678571,1.629464,1.647321,0.251794,38186400
10/06/1991,1.642857,1.683036,1.633929,1.642857,0.251112,41860000
11/06/1991,1.607143,1.625,1.580357,1.59375,0.243606,47140800
12/06/1991,1.571429,1.598214,1.473214,1.513393,0.231323,108908800
13/06/1991,1.517857,1.535714,1.491071,1.504464,0.229958,52841600
14/06/1991,1.526786,1.526786,1.455357,1.46875,0.224499,56322000
17/06/1991,1.464286,1.508929,1.464286,1.5,0.229276,41650000
18/06/1991,1.508929,1.544643,1.482143,1.504464,0.229958,61171600
19/06/1991,1.491071,1.508929,1.473214,1.491071,0.227911,44735600
20/06/1991,1.473214,1.5,1.455357,1.5,0.229276,36010800
21/06/1991,1.5,1.517857,1.491071,1.5,0.229276,51503200
24/06/1991,1.491071,1.508929,1.473214,1.491071,0.227911,51996000
25/06/1991,1.5,1.535714,1.491071,1.513393,0.231323,56980000
26/06/1991,1.526786,1.553571,1.508929,1.535714,0.234735,62610800
27/06/1991,1.517857,1.526786,1.491071,1.517857,0.232006,37800000
28/06/1991,1.508929,1.517857,1.4375,1.482143,0.226547,56660800
01/07/1991,1.508929,1.535714,1.491071,1.517857,0.232006,48706000
02/07/1991,1.508929,1.526786,1.491071,1.508929,0.230641,30035600
03/07/1991,1.508929,1.553571,1.491071,1.540179,0.235417,77593600
05/07/1991,1.535714,1.642857,1.526786,1.629464,0.249065,82888400
08/07/1991,1.616071,1.6875,1.607143,1.669643,0.255206,76770400
09/07/1991,1.6875,1.723214,1.660714,1.674107,0.255888,56610400
10/07/1991,1.696429,1.723214,1.669643,1.6875,0.257936,39144000
11/07/1991,1.678571,1.6875,1.642857,1.669643,0.255206,36478400
12/07/1991,1.6875,1.6875,1.651786,1.669643,0.255206,33188400
15/07/1991,1.669643,1.669643,1.625,1.625,0.248382,34496000
16/07/1991,1.625,1.633929,1.553571,1.5625,0.238829,55748000
17/07/1991,1.553571,1.589286,1.508929,1.517857,0.232006,52234000
18/07/1991,1.571429,1.611607,1.535714,1.602679,0.244971,99579200
19/07/1991,1.616071,1.651786,1.607143,1.642857,0.251112,32104800
22/07/1991,1.633929,1.651786,1.625,1.642857,0.251112,27168400
23/07/1991,1.651786,1.660714,1.589286,1.607143,0.245653,33264000
24/07/1991,1.616071,1.633929,1.589286,1.607143,0.245653,32863600
25/07/1991,1.616071,1.633929,1.607143,1.616071,0.247018,16450000
26/07/1991,1.633929,1.633929,1.598214,1.602679,0.244971,18558400
29/07/1991,1.616071,1.625,1.589286,1.625,0.248382,13325200
30/07/1991,1.625,1.669643,1.625,1.660714,0.253841,22965600
31/07/1991,1.660714,1.674107,1.607143,1.651786,0.252477,25701200
01/08/1991,1.642857,1.758929,1.633929,1.754464,0.268171,112106400
02/08/1991,1.776786,1.794643,1.75,1.785714,0.272948,68252800
05/08/1991,1.776786,1.776786,1.723214,1.732143,0.264759,25191600
06/08/1991,1.741071,1.794643,1.705357,1.767857,0.270218,55106800
07/08/1991,1.767857,1.821429,1.763393,1.799107,0.274995,52903200
08/08/1991,1.8125,1.848214,1.785714,1.803571,0.275677,47362000
09/08/1991,1.803571,1.821429,1.776786,1.8125,0.277042,38600800
12/08/1991,1.8125,1.866071,1.803571,1.848214,0.282501,35632800
13/08/1991,1.857143,1.928571,1.857143,1.910714,0.292054,71646400
14/08/1991,1.955357,1.964286,1.924107,1.959821,0.29956,50178800
15/08/1991,1.964286,1.964286,1.892857,1.901786,0.290689,36386000
16/08/1991,1.883929,1.9375,1.866071,1.901786,0.290689,39701200
19/08/1991,1.767857,1.84375,1.732143,1.803571,0.294244,80620400
20/08/1991,1.839286,1.848214,1.803571,1.821429,0.297157,49856800
21/08/1991,1.875,1.933036,1.857143,1.919643,0.31318,55843200
22/08/1991,1.928571,1.955357,1.919643,1.9375,0.316093,41412000
23/08/1991,1.928571,1.982143,1.883929,1.892857,0.30881,60104800
26/08/1991,1.892857,1.910714,1.875,1.892857,0.30881,25398800
