Date,Open,High,Low,Close,Adj Close,Volume
13/03/1990,0.753472,0.756944,0.737847,0.737847,0.542185,85203200
14/03/1990,0.744792,0.755208,0.736111,0.749132,0.550476,130966400
15/03/1990,0.749132,0.776042,0.748264,0.770833,0.566423,81676800
16/03/1990,0.777778,0.800347,0.776042,0.791667,0.581732,118899200
19/03/1990,0.789931,0.8125,0.784722,0.809028,0.594489,81171200
20/03/1990,0.809028,0.810764,0.78125,0.784722,0.576629,92144000
21/03/1990,0.783854,0.802083,0.779514,0.786458,0.577905,69840000
22/03/1990,0.788194,0.789931,0.765625,0.772569,0.567699,92419200
23/03/1990,0.777778,0.786458,0.756944,0.765625,0.562596,53596800
26/03/1990,0.767361,0.78125,0.766493,0.774306,0.568975,55929600
27/03/1990,0.771701,0.784722,0.769097,0.78125,0.574078,52515200
28/03/1990,0.779514,0.779514,0.753472,0.770833,0.566423,99532800
29/03/1990,0.766493,0.782986,0.763889,0.767361,0.563872,64784000
30/03/1990,0.763889,0.770833,0.758681,0.769097,0.565148,36691200
02/04/1990,0.762153,0.780382,0.758681,0.774306,0.568975,74057600
03/04/1990,0.782986,0.807292,0.78125,0.805556,0.591938,84643200
04/04/1990,0.805556,0.824653,0.802083,0.8125,0.59704,79644800
05/04/1990,0.811632,0.813368,0.795139,0.795139,0.584283,66368000
06/04/1990,0.796875,0.800347,0.786458,0.793403,0.583008,72876800
09/04/1990,0.789931,0.800347,0.789931,0.795139,0.584283,31174400
10/04/1990,0.796007,0.819444,0.795139,0.819444,0.602144,45187200
11/04/1990,0.822917,0.840278,0.821181,0.840278,0.617452,70371200
12/04/1990,0.845486,0.847222,0.833333,0.838542,0.616177,48252800
16/04/1990,0.847222,0.857639,0.835069,0.84375,0.620004,39468800
17/04/1990,0.842014,0.875,0.829861,0.861111,0.632761,66777600
18/04/1990,0.855903,0.857639,0.815972,0.842014,0.618728,97795200
19/04/1990,0.833333,0.850694,0.822917,0.826389,0.607246,58003200
20/04/1990,0.833333,0.840278,0.815972,0.822917,0.604695,44659200
23/04/1990,0.817708,0.826389,0.795139,0.819444,0.602144,64876800
24/04/1990,0.829861,0.829861,0.784722,0.805556,0.591938,47913600
25/04/1990,0.809028,0.815972,0.791667,0.805556,0.591938,53868800
26/04/1990,0.8125,0.815972,0.795139,0.796875,0.585559,46294400
27/04/1990,0.793403,0.795139,0.772569,0.78125,0.574078,57123200
30/04/1990,0.78125,0.805556,0.774306,0.805556,0.591938,51449600
01/05/1990,0.815972,0.815972,0.788194,0.793403,0.583008,52473600
02/05/1990,0.795139,0.8125,0.795139,0.809028,0.594489,33264000
03/05/1990,0.8125,0.829861,0.809028,0.819444,0.602144,45891200
04/05/1990,0.826389,0.857639,0.819444,0.857639,0.63021,47811200
07/05/1990,0.861111,0.916667,0.854167,0.888889,0.653173,97347200
08/05/1990,0.871528,0.881944,0.864583,0.871528,0.640415,50822400
09/05/1990,0.873264,0.878472,0.861111,0.871528,0.640415,35164800
10/05/1990,0.878472,0.902778,0.871528,0.895833,0.658276,48800000
11/05/1990,0.902778,0.916667,0.878472,0.909722,0.668481,49164800
14/05/1990,0.920139,0.923611,0.909722,0.913194,0.671033,47232000
15/05/1990,0.909722,0.913194,0.892361,0.899306,0.660827,54118400
16/05/1990,0.895833,0.899306,0.881944,0.899306,0.660827,38553600
17/05/1990,0.899306,0.90625,0.892361,0.899306,0.660827,41731200
18/05/1990,0.897569,0.961806,0.895833,0.947917,0.696547,101820800
21/05/1990,0.954861,1.003472,0.954861,0.975694,0.716959,159593600
22/05/1990,0.986111,1.003472,0.958333,0.993056,0.729717,142435200
23/05/1990,1,1.055556,0.998264,1.053819,0.774367,141180800
24/05/1990,1.065972,1.09375,1.055556,1.0625,0.780746,146649600
25/05/1990,1.03125,1.059028,1.027778,1.03125,0.757783,104688000
29/05/1990,1.03125,1.048611,1.027778,1.045139,0.767988,61478400
30/05/1990,1.057292,1.0625,1.038194,1.048611,0.77054,65072000
31/05/1990,1.038194,1.048611,1.006944,1.013889,0.745025,69436800
01/06/1990,1.017361,1.045139,1.013889,1.043403,0.766713,69065600
04/06/1990,1.039931,1.072917,1.027778,1.0625,0.780746,59158400
05/06/1990,1.072917,1.076389,1.010417,1.019097,0.748852,80256000
06/06/1990,1.017361,1.034722,1.006944,1.013889,0.745025,86288000
07/06/1990,1.017361,1.024306,0.986111,1,0.73482,90118400
08/06/1990,1,1.024306,0.993056,1.020833,0.750128,63766400
11/06/1990,1.013889,1.048611,1.013889,1.039931,0.764161,58236800
12/06/1990,1.048611,1.055556,1.034722,1.053819,0.774367,46656000
13/06/1990,1.053819,1.079861,1.043403,1.0625,0.780746,80265600
14/06/1990,1.0625,1.065972,1.03125,1.048611,0.77054,58204800
15/06/1990,1.034722,1.069444,1.034722,1.055556,0.775642,51552000
18/06/1990,1.052083,1.059028,1.034722,1.039931,0.764161,52790400
19/06/1990,1.038194,1.048611,1.024306,1.041667,0.765437,41715200
20/06/1990,1.046875,1.079861,1.041667,1.078125,0.792227,39561600
21/06/1990,1.076389,1.079861,1.055556,1.069444,0.785848,34304000
22/06/1990,1.072917,1.079861,1.048611,1.052083,0.773091,34032000
25/06/1990,1.050347,1.0625,1.03125,1.034722,0.760334,68979200
26/06/1990,1.045139,1.050347,1.034722,1.038194,0.762885,50198400
27/06/1990,1.038194,1.0625,1.034722,1.059028,0.778194,35760000
28/06/1990,1.064236,1.072917,1.057292,1.0625,0.780746,30051200
29/06/1990,1.0625,1.0625,1.045139,1.055556,0.775642,34953600
02/07/1990,1.055556,1.055556,1.022569,1.024306,0.75268,35472000
03/07/1990,1.019097,1.020833,0.993056,1,0.73482,79257600
05/07/1990,0.993056,1.006944,0.982639,1.003472,0.737371,61852800
06/07/1990,1.001736,1.027778,0.996528,1.017361,0.747577,41801600
09/07/1990,1.020833,1.038194,1.017361,1.03125,0.757783,37315200
10/07/1990,1.03125,1.041667,1.020833,1.024306,0.75268,29696000
11/07/1990,1.027778,1.052083,1.017361,1.048611,0.77054,28918400
12/07/1990,1.045139,1.079861,1.045139,1.076389,0.790951,89040000
13/07/1990,1.079861,1.118056,1.076389,1.088542,0.799881,93628800
16/07/1990,1.09375,1.121528,1.090278,1.100694,0.808811,48729600
17/07/1990,1.102431,1.104167,1.069444,1.079861,0.793503,54473600
18/07/1990,1.072917,1.079861,1.048611,1.055556,0.775642,41849600
